Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Initial_Cost_Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,526.5,6318.00,USD,Number of NAT Gateways (2)
Initial_Cost_Estimate,US East (N. Virginia),S3 Standard,0,2469.24,29630.88,USD,S3 Standard storage (100 TB per month)
Initial_Cost_Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD,"Data Transfer, Data transfer cost (0)"
Initial_Cost_Estimate,US East (N. Virginia),Amazon Elastic IP,0,219,2628.00,USD,"Number of EC2 instances (20), Number of EIPs per instance (2)"
Initial_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,1514.72,18176.64,USD,"Operating system (Linux), Quantity (20), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (150 GB), Instance type (t3.large)"
Initial_Cost_Estimate,US East (N. Virginia),Elastic Load Balancing,0,324.85,3898.20,USD,Number of Application Load Balancers (2)
Initial_Cost_Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,1331.44,15977.28,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Additional backup storage (1 TB)"
Initial_Cost_Estimate,US East (N. Virginia),Amazon CloudWatch,0,150,1800.00,USD,
Initial_Cost_Estimate,US East (N. Virginia),Amazon Route 53,0,683.5,8202.00,USD,"Hosted Zones (2), Number of Elastic Network Interfaces (2)"
Initial_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,1760,21120.00,USD,"Operating system (Linux), Quantity (20), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (150 GB), Instance type (m4.large)"
,,,,,,,
,,,,,,,
,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
