Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
287a94bf-f38e-4310-a317-edeaa76e923b,"2020-06-21, 12:19:44 AM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:504716675564:trail/Udacity_Trail""}]",,us-east-1,,65.95.43.103
5fc6d873-eea7-48af-ae84-2d40a7e07c39,"2020-06-21, 12:19:44 AM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""pascalocloudtrail""}]",,us-east-1,,65.95.43.103
69897bce-e5c0-41e4-acdf-0ede70ac2964,"2020-06-21, 12:19:44 AM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,65.95.43.103
769df97b-59ce-4512-bca8-69af24757381,"2020-06-21, 12:19:44 AM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""pascalocloudtrail""}]",,us-east-1,,65.95.43.103
acaabf34-6f36-47ab-950b-f3a2fc4969b7,"2020-06-21, 12:19:44 AM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:504716675564:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""pascalocloudtrail""}]",,us-east-1,,65.95.43.103
71cf0505-3cdd-4ff2-aa65-c63d63d6e1e4,"2020-06-21, 12:12:57 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,65.95.43.103
b55d5b7d-1ee0-4127-b957-cf9788d7fdac,"2020-06-21, 12:11:59 AM",Accountant,ConsoleLogin,,,,us-east-1,,65.95.43.103
fe71fae2-b6a0-4696-b586-f9e469b0a00f,"2020-06-21, 12:11:02 AM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
ad254de1-5a28-4d77-b597-f4a23b5ec94a,"2020-06-21, 12:10:42 AM",Accountant,ConsoleLogin,,,,us-east-1,,65.95.43.103
5c7f5c8d-87ed-426d-a6fd-51651cb1cf06,"2020-06-21, 12:09:38 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,65.95.43.103
3b7e2f50-f7fe-4057-9a63-d17c27a71a1e,"2020-06-21, 12:08:30 AM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
63fac20b-ee1d-4360-9161-71334bb3f78f,"2020-06-21, 12:08:02 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,65.95.43.103
d11d4704-f759-4131-b939-409a0cc6d4d8,"2020-06-21, 12:06:37 AM",root,CreateAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAXLA3VJHWFYBPAEPU""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,65.95.43.103
e7e98f6a-c41f-4a89-8098-dc04f4dbf233,"2020-06-21, 12:06:37 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,65.95.43.103
5b51d0df-603a-482e-b451-c75b05c96728,"2020-06-21, 12:06:36 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,65.95.43.103
