Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Reduced_Cost_Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,250.02,3000.24,USD,Number of NAT Gateways (2)
Reduced_Cost_Estimate,US East (N. Virginia),S3 Standard,0,711.96,8543.52,USD,S3 Standard storage (30 TB per month)
Reduced_Cost_Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD,"Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month"
Reduced_Cost_Estimate,US East (N. Virginia),Amazon Elastic IP,0,219,2628.00,USD,"Number of EC2 instances (20), Number of EIPs per instance (2)"
Reduced_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,1137.92,13655.04,USD,"Operating system (Linux), Quantity (20), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (20 GB), Instance type (t3a.large)"
Reduced_Cost_Estimate,US East (N. Virginia),Elastic Load Balancing,0,324.85,3898.20,USD,Number of Application Load Balancers (2)
Reduced_Cost_Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,1154.6400000000000,13855.68,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (480 GB), Additional backup storage (480 GB)"
Reduced_Cost_Estimate,US East (N. Virginia),Amazon CloudWatch,0,150,1800.00,USD,
Reduced_Cost_Estimate,US East (N. Virginia),Amazon Route 53,0,683.5,8202.00,USD,"Hosted Zones (2), Number of Elastic Network Interfaces (2)"
Reduced_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,1478,17736.00,USD,"Operating system (Linux), Quantity (20), Storage for each EC2 instance (Throughput Optimized HDD (st1)), Storage amount (20 GB), Instance type (m4.large)"
Reduced_Cost_Estimate,US East (N. Virginia),AWS Data Transfer,0,0,0.00,USD,"Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Amazon Cloud Front) 250 TB per month 
 Intra-Region 0 TB per month"
Reduced_Cost_Estimate,US East (N. Virginia),S3 One Zone - Infrequent Access,0,207.95,2495.40,USD,S3 One Zone-IA storage (40 GB per month)
Reduced_Cost_Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD,"Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month"
Reduced_Cost_Estimate,US East (N. Virginia),S3 Glacier,0,148.18,1778.16,USD,S3 Glacier storage (30 TB per month)
,,,,,,,
,,,,,,,
,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
