Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Reduced_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,2743.55,32922.60,USD,"Operating system (Linux), Quantity (16), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (t3.xlarge)"
Reduced_Cost_Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,1234.16,14809.92,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB)"
Reduced_Cost_Estimate,US East (N. Virginia),Amazon CloudWatch,0,150,1800.00,USD,
Reduced_Cost_Estimate,US East (N. Virginia),S3 Standard,0,588.8,7065.60,USD,S3 Standard storage (25 TB per month)
Reduced_Cost_Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD,"Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month"
Reduced_Cost_Estimate,US East (N. Virginia),Elastic Load Balancing,0,324.85,3898.20,USD,Number of Application Load Balancers (2)
Reduced_Cost_Estimate,US East (N. Virginia),Amazon Elastic IP,0,175.2,2102.40,USD,"Number of EC2 instances (16), Number of EIPs per instance (2)"
Reduced_Cost_Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,526.5,6318.00,USD,Number of NAT Gateways (2)
Reduced_Cost_Estimate,US East (N. Virginia),Amazon Route 53,0,433.5,5202.00,USD,"Hosted Zones (2), Number of Elastic Network Interfaces (2)"
Reduced_Cost_Estimate,US East (N. Virginia),S3 One Zone - Infrequent Access,0,256,3072.00,USD,S3 One Zone-IA storage (25 TB per month)
Reduced_Cost_Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD,"Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month"
Reduced_Cost_Estimate,US East (N. Virginia),S3 Glacier,0,0.1,1.20,USD,S3 Glacier storage (25 GB per month)
Reduced_Cost_Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD,"Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month"
,,,,,,,
,,,,,,,
,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
